State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Ginger(Green),"Green Ginger",FAQ,17/07/2025,6000,6500,6200
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Lemon,Lemon,FAQ,17/07/2025,5000,6000,5200
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Plum,Other,Medium,17/07/2025,4000,6000,4800
"Himachal Pradesh",Kangra,Palampur,"Bottle gourd","Bottle Gourd",FAQ,17/07/2025,3000,5800,4500
"Himachal Pradesh",Kangra,Palampur,Cabbage,Cabbage,FAQ,17/07/2025,1800,2000,1900
"Himachal Pradesh",Kangra,Palampur,Capsicum,Capsicum,FAQ,17/07/2025,7000,8000,7500
"Himachal Pradesh",Kangra,Palampur,Colacasia,Colacasia,FAQ,17/07/2025,4000,4500,4200
"Himachal Pradesh",Kangra,Palampur,Cucumbar(Kheera),Other,FAQ,17/07/2025,2500,3000,2700
"Himachal Pradesh",Kangra,Palampur,"Green Chilli","Green Chilly",FAQ,17/07/2025,6000,6500,6200
"Himachal Pradesh",Kangra,Palampur,Pear(Marasebu),Other,Medium,17/07/2025,3000,7000,5000
"Himachal Pradesh",Kangra,Palampur,Potato,Other,FAQ,17/07/2025,2100,2200,2150
"Himachal Pradesh",Kangra,Palampur,"Sponge gourd",Other,FAQ,17/07/2025,5500,6000,5700
"Himachal Pradesh",Shimla,Rohroo,"French Beans (Frasbean)",Other,FAQ,17/07/2025,3000,4000,3500
"Himachal Pradesh",Sirmore,Nahan,Banana,Other,Large,17/07/2025,3000,3500,3200
"Himachal Pradesh",Sirmore,Nahan,"Bhindi(Ladies Finger)",Other,FAQ,17/07/2025,2500,3000,2800
"Himachal Pradesh",Sirmore,Nahan,Carrot,Other,FAQ,17/07/2025,3500,4000,3800
"Himachal Pradesh",Sirmore,Nahan,Cucumbar(Kheera),Other,FAQ,17/07/2025,2500,2800,2600
"Himachal Pradesh",Sirmore,Nahan,Lemon,Other,FAQ,17/07/2025,5000,7000,6000
"Himachal Pradesh",Sirmore,Nahan,Mango,Dusheri,Large,17/07/2025,3000,4000,3500
"Himachal Pradesh",Sirmore,Nahan,"Sponge gourd",Other,FAQ,17/07/2025,3500,4000,3800
"Himachal Pradesh",Sirmore,"Paonta Sahib",Apple,"Kasmir/Shimla - II",Medium,17/07/2025,4000,5000,4500
"Himachal Pradesh",Sirmore,"Paonta Sahib","Bitter gourd",Other,FAQ,17/07/2025,3000,4000,3500
"Himachal Pradesh",Sirmore,"Paonta Sahib",Cabbage,Other,FAQ,17/07/2025,1500,2000,1800
"Himachal Pradesh",Sirmore,"Paonta Sahib",Capsicum,Other,FAQ,17/07/2025,9000,11000,10000
"Himachal Pradesh",Sirmore,"Paonta Sahib",Cucumbar(Kheera),Other,FAQ,17/07/2025,2000,3000,2500
"Himachal Pradesh",Sirmore,"Paonta Sahib","Green Chilli",Other,FAQ,17/07/2025,10000,12000,11000
"Himachal Pradesh",Sirmore,"Paonta Sahib",Lemon,Other,FAQ,17/07/2025,6000,7000,6500
"Himachal Pradesh",Sirmore,"Paonta Sahib",Potato,Other,FAQ,17/07/2025,1000,1500,1200
"Himachal Pradesh",Sirmore,"Paonta Sahib",Potato,Other,Non-FAQ,17/07/2025,1500,2000,1800
"Himachal Pradesh",Solan,Dharampur,Cucumbar(Kheera),Other,FAQ,17/07/2025,1500,2000,2000
"Himachal Pradesh",Solan,Solan,Banana,Other,Medium,17/07/2025,2100,3300,2700
"Himachal Pradesh",Solan,Solan,Lemon,Other,FAQ,17/07/2025,5500,7000,6500
"Himachal Pradesh",Solan,Solan,Onion,Other,FAQ,17/07/2025,1100,2200,2000
"Himachal Pradesh",Solan,Solan,Pear(Marasebu),Other,Medium,17/07/2025,500,7000,5000
